0 872
1 1061
2 839
3 704
4 544
5 431
6 309
7 267
8 207
9 128
10 117
11 94
12 79
13 71
14 66
15 35
16 42
17 36
18 27
19 16
20 22
21 21
22 11
23 10
24 15
25 9
26 10
27 7
28 10
29 3
30 11
31 4
32 2
33 4
34 6
35 6
36 4
37 6
38 4
40 3
41 4
42 4
43 2
44 4
45 3
46 5
48 2
49 1
50 1
51 2
52 1
53 1
54 2
56 1
60 3
61 2
62 2
63 1
64 1
65 2
66 1
67 2
71 1
74 1
75 1
77 2
78 1
79 1
81 1
89 2
90 2
96 1
103 1
106 1
110 1
114 1
115 2
124 1
141 1
151 1
152 1
671 1
171 1
690 1
186 1
191 1
291 1
310 1
-16 1
-14 1
-13 1
-12 1
-1 56
-10 1
-8 1
-7 1
-6 4
-5 2
-4 9
-3 15
-2 27
