167 13
599 14
124 14
504 28
432 6
397 5
283 7
272 7
876 4
872 2
872 5
866 2
856 2
826 8
807 5
802 1
799 4
777 4
777 3
777 90
774 1
753 5
744 1
735 4
1177 64
716 8
715 20
701 2
693 0
691 5
683 1
664 6
664 90
651 3
648 0
1177 2
647 3
636 4
618 4
613 4
610 12
599 2
1142 3
577 1
572 1
559 1
553 3
543 3
538 3
535 4
511 0
490 0
490 2
486 2
482 0
452 2
1112 4
439 1
432 1
432 20
425 1
420 0
411 3
405 17
404 1
402 3
394 5
384 -1
369 1
366 2
364 6
350 0
347 2
341 0
339 2
337 0
1084 3
324 2
323 2
312 0
311 1
290 1
280 -1
278 1
278 2
266 0
261 1
255 0
228 1
228 1
216 1
203 1
199 0
190 2
1057 8
188 1
181 2
161 0
158 0
129 2
129 3
131 2
115 1
103 0
91 2
75 0
50 1
38 1
36 0
20 0
10 0
10 0
1024 5
1236 13
1233 3
1017 5
1015 6
1014 5
1014 56
985 0
968 5
965 1
943 6
1189 6
1188 11
929 4
926 1
272 9
271 5
263 3
220 3
196 6
170 6
113 10
75 5
25 2
1328 4
1326 0
1321 5
1313 0
1311 2
1223 1
1223 2
1203 1
1148 2
1121 5
1120 3
1117 3
1112 11
1064 6
1063 1
1507 3
1054 4
1041 1
1037 3
1026 12
1026 0
1015 4
1013 4
1504 1
1516 3
985 1
1503 8
973 5
971 2
945 1
943 1
913 3
881 8
1497 3
878 2
872 3
828 2
824 1
819 1
805 3
1489 2
750 3
743 0
726 2
713 2
703 5
677 2
672 1
671 2
647 3
612 -1
606 1
592 4
584 2
528 6
1149 4
477 0
1144 16
442 2
441 6
434 1
425 3
420 0
410 0
395 1
423 1
299 0
286 1
281 3
1456 3
221 1
100 0
72 3
1443 8
1434 1
1428 2
1380 5
1369 2
1346 3
1345 11
996 4
39 2
39 1
30 2
1204 42
11 0
961 3
939 3
906 0
1204 1
889 0
880 5
851 3
847 0
839 0
838 0
836 2
829 3
808 4
808 3
804 1
803 2
1164 3
796 9
778 2
767 10
766 3
765 20
1204 11
747 2
742 4
1143 1
721 2
709 4
699 0
693 1
692 1
692 2
687 5
671 0
651 0
650 3
642 4
635 1
627 4
627 0
621 3
609 1
609 8
606 9
595 1
579 1
570 0
569 0
560 1
551 1
545 3
546 2
535 2
489 0
482 0
482 10
477 5
1058 2
460 5
1056 3
445 0
444 0
795 0
420 1
419 7
417 1
411 0
407 1
1043 4
389 1
387 2
384 0
371 1
370 2
362 1
353 3
350 2
348 3
346 1
341 0
340 0
323 1
320 6
315 1
312 0
300 0
298 1
291 0
1023 3
257 0
253 2
238 1
1004 2
667 4
615 0
591 0
1117 6
578 1
578 77
564 2
549 5
549 1
527 1
526 1
524 1
522 3
511 2
508 0
507 5
504 0
502 0
501 1
475 0
462 2
460 1
460 3
451 2
447 0
1072 1
441 1
997 75
428 7
428 78
418 0
412 1
1063 4
408 0
405 1
392 4
371 3
371 2
350 1
346 2
344 0
339 2
339 1
334 0
333 0
333 186
324 0
322 -1
320 0
320 115
312 0
307 3
299 0
1029 2
289 0
289 3
896 43
284 0
279 1
270 1
262 2
259 0
344 5
253 0
1016 2
248 3
241 0
221 1
219 16
213 0
195 1
188 0
185 0
183 0
993 6
149 0
147 -2
141 0
137 1
131 1
130 0
118 1
92 2
91 0
606 13
83 -12
74 0
70 0
61 0
53 1
40 1
40 0
35 0
29 0
21 1
15 0
13 0
13 171
942 0
922 1
914 2
892 3
883 2
836 4
1149 8
802 1
783 2
782 0
781 1
951 61
760 0
755 7
752 0
751 3
749 0
749 1
740 17
716 1
704 1
704 1
782 11
694 2
682 1
677 5
674 3
67 6
66 6
56 9
36 7
28 10
26 11
21 10
995 5
995 4
986 5
983 6
946 1
933 20
1092 9
902 8
898 5
894 2
